5,3,9,9,6,8,9,6,3,2,2,6,15,0,4,34,0,7,12135,1754554438.360154
26,0,23,1,1,0,19,10,13,2,13,11,12,8,6,2,1,0,12136,1754554438.3611648
12,12,3,5,12,3,14,8,6,17,12,1,10,6,19,3,33,6,12134,1754554438.6925793
7,1,6,1,2,3,5,5,0,7,1,4,2,0,2,28,8,15,12135,1754554438.694576
9,2,12,2,2,5,12,16,3,3,4,10,2,5,2,7,5,3,12136,1754554438.696576
4,8,1,4,11,1,12,3,8,14,15,12,9,11,0,7,32,7,12134,1754554439.027236
3,6,5,3,1,5,6,4,1,5,6,12,8,0,4,27,7,11,12135,1754554439.029242
12,8,10,4,2,3,1,12,14,9,4,26,8,3,11,13,5,1,12136,1754554439.0302336
15,11,2,2,8,3,6,3,3,0,4,15,13,41,2,7,12,3,12134,1754554439.36071
3,2,15,28,3,1,0,12,8,1,6,11,10,11,5,21,12,5,12135,1754554439.3626077
16,1,4,1,11,2,5,9,10,14,4,14,7,4,13,6,4,2,12136,1754554439.3641233
0,2,8,1,5,8,7,2,1,6,8,4,4,38,2,10,0,1,12134,1754554439.695333
16,8,10,23,2,20,4,10,3,2,3,4,3,17,5,11,8,1,12135,1754554439.697432
3,2,34,11,9,15,1,7,1,0,16,2,7,0,10,4,8,1,12136,1754554439.6989074
9,4,9,11,4,16,15,3,6,9,2,2,2,5,11,12,4,17,12134,1754554440.0277941
17,11,12,8,3,20,5,2,15,3,5,1,13,9,5,0,3,30,12135,1754554440.0289037
23,16,22,6,1,17,3,7,7,0,8,8,4,0,9,10,8,6,12136,1754554440.0309072
11,15,11,20,2,2,23,3,6,16,6,9,10,25,13,14,18,14,12134,1754554440.3632722
43,0,3,5,9,2,3,16,1,4,1,14,4,2,14,7,4,30,12135,1754554440.3654752
1,10,23,1,2,3,1,5,4,4,6,14,0,3,4,13,7,8,12136,1754554440.366487
18,22,14,7,3,8,1,10,0,10,17,12,4,11,5,5,23,3,12134,1754554440.6969807
3,1,1,10,6,6,4,20,3,0,10,22,5,10,5,21,5,12,12135,1754554440.698964
9,4,28,11,9,2,2,3,2,1,1,12,6,7,3,8,4,0,12136,1754554440.6999629
2,14,4,17,8,16,5,9,2,15,2,5,8,20,13,3,8,1,12134,1754554441.0316787
25,10,22,18,5,7,1,8,9,2,9,5,5,6,12,20,2,17,12135,1754554441.0346727
3,3,23,10,7,7,11,1,9,1,9,4,10,7,6,10,2,1,12136,1754554441.0366843
2,6,2,3,1,1,18,2,9,19,6,15,4,26,20,5,4,11,12134,1754554441.3658302
27,16,9,17,6,1,1,6,0,8,3,1,0,6,5,4,33,11,12135,1754554441.367828
4,6,1,5,6,7,10,2,6,12,15,0,6,5,5,17,0,2,12136,1754554441.3688278
4,11,12,3,13,1,18,15,5,10,42,9,24,26,1,13,42,19,12134,1754554441.7005684
2,7,12,19,0,0,2,1,2,11,4,3,7,3,3,17,11,2,12135,1754554441.7025042
5,9,14,7,1,9,3,7,13,14,9,13,3,4,2,20,4,5,12136,1754554441.70384
9,16,26,16,2,5,7,1,6,4,37,5,32,17,19,7,17,15,12134,1754554442.03507
7,1,13,0,3,4,1,3,11,15,1,3,9,2,0,11,30,10,12135,1754554442.0376081
1,16,17,14,1,1,0,5,14,6,5,7,5,14,12,7,9,6,12136,1754554442.0396056
8,4,0,4,15,3,13,16,4,20,7,3,3,7,8,2,28,17,12134,1754554442.3699899
2,18,18,35,4,1,1,1,22,13,2,7,1,9,5,28,20,0,12135,1754554442.371782
10,5,28,13,1,6,0,2,1,2,2,3,3,0,4,5,10,4,12136,1754554442.3737953
11,6,15,2,4,6,13,10,0,10,4,3,14,5,13,7,11,8,12134,1754554442.7031322
8,15,2,27,9,3,1,2,4,5,18,1,7,4,4,12,8,3,12135,1754554442.705133
14,3,9,13,3,6,0,10,7,2,4,1,7,12,7,13,3,1,12136,1754554442.7061317
14,2,1,5,18,6,1,15,7,15,3,9,13,5,1,8,20,3,12134,1754554443.0371752
8,1,2,13,2,3,12,3,9,3,16,1,4,13,5,21,7,1,12135,1754554443.0384524
